city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude,date,time
trumbull,ct,us,sphere,60,1 minute,Bright white light over Trumbull&#44 CT.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,41.2427778,-73.2011111,9/19/2009,19:50
west grove,pa,us,light,120,2 minutes,West Grove PA 9/19/09 Chester County 19:50  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.0047222,-75.635,9/19/2009,19:50
wrightsville beach,nc,us,disk,10,10 seconds,Glowing disk with single beam sighted at Wrightsville Beach 9/19/09 at 7:50p.m.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,34.2083333,-77.7966667,9/19/2009,19:50
colchester,ct,us,light,240,3-4 minutes,Large&#44 bright white &quot;spotlight&quot; high in sky over Colchester&#44 Ct  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,41.5755556,-72.3325,9/19/2009,19:51
plainfield,nh,us,other,60,1 minute,Growing&#44 star-like object expels glowing cloud and then collapses into cloud and is gone.((NUFORC Note:  Missile launch.  PD)),12/12/2009,43.5341667,-72.3566667,9/19/2009,19:51
auburn,pa,us,light,30,30 seconds,bight light appeared in sky shinning a beam down for 30 seconds ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.5983333,-76.0936111,9/19/2009,19:52
cornwall,vt,us,cone,30,30 seconds,cone of light in sky at height of air traffic  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,43.9608333,-73.2108333,9/19/2009,19:52
dundalk,md,us,light,20,20 seconds,dot of light whith a beam of light below it&#44 beam of light was in a cone shape ((NUFORC Note:  Missile launch.  PD)),12/12/2009,39.2505556,-76.5208333,9/19/2009,19:52
glens falls,ny,us,circle,40,40 seconds,Circle of light with triangular ray  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,43.3094444,-73.6444444,9/19/2009,19:52
great barrington,ma,us,light,30,30 seconds,Bright pure white cone of light&#44 not moving&#44 over northwestern Connecticut&#44 for about 20 sec.. ((NUFORC Note:  Missile launch.  PD)),12/12/2009,42.1958333,-73.3625,9/19/2009,19:52
mount penn,pa,us,circle,30,30 seconds,Light appears&#44 searches&#44 than disappears into a mist.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.3280556,-75.8911111,9/19/2009,19:52
new milford,ct,us,light,120,on or two minutes,Star-like object in the sky with beam of light directed down to earth,12/12/2009,41.5769444,-73.4088889,9/19/2009,19:52
southbury,ct,us,cone,30,30 seconds,Cone shaped bright white light - gradually disappeared / resembled a flashlight pointing down.((NUFORC Note:  Missile launch.  PD)),12/12/2009,41.4813889,-73.2136111,9/19/2009,19:52
west chester,pa,us,cone,120,1-2 minutes,A white circle of light with a lighter&#44 cone-shaped light underneath it;  the circle disappeared the cone shape faded to a &quot;cloud&quot;,12/12/2009,39.8494444,-75.3561111,9/19/2009,19:52
boonton,nj,us,oval,30,30 seconds,Sighting of an elevating object that emitted a strong traingular light downward.,12/12/2009,40.9025,-74.4075,9/19/2009,19:53
wareham,ma,us,unknown,30,30 seconds,We called 911 and reported this to the Bourne State police barracks. No way we were the only ones who saw this.,12/12/2009,41.7625,-70.7222222,9/19/2009,19:53
whitinsville,ma,us,light,20,20 seconds,Bright  white light for 10 seconds with a fading shower.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,42.1111111,-71.6666667,9/19/2009,19:54
ellington,ct,us,light,15,15 sec,Odd bright light in sky&#44 with haze around it that seems to fade out.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,41.9038889,-72.4702778,9/19/2009,19:55
newburgh,ny,us,cone,20,15-20 seconds,Unidentified light emmiting cone shaped object spotted hovering over Newburg&#44  NY ((NUFORC Note:  Missile launch.  PD)),12/12/2009,41.5033333,-74.0108333,9/19/2009,19:55
shelton,ct,us,circle,90,1:30,circle of light with beam of light shining towards the ground  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,41.3163889,-73.0936111,9/19/2009,19:57
north smithfield,ri,us,sphere,60,>1 minute,I was looking up at the stars and all of the sudden a giant circle was right in front of my eyes. ((NUFORC Note:  Missile launch.  PD)),12/12/2009,41.9666667,-71.55,9/19/2009,19:58
arlington,ma,us,cone,30,20-30 seconds,Cone Shaped light from bright dot. ((NUFORC Note:  Missile launch.  PD)),12/12/2009,42.4152778,-71.1569444,9/19/2009,20:00
canton,oh,us,light,45,45 sec.,Ball of light with  illuminating light shining down at night sat still. ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.7988889,-81.3786111,9/19/2009,20:00
chalfont,pa,us,light,120,2 minutes,light and weird mist in sky over Chalfont&#44 Pa. ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.2883333,-75.2094444,9/19/2009,20:00
chatham,nj,us,light,30,30 seconds,very bright  V shape light pointing downwards.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.7408333,-74.3841667,9/19/2009,20:00
columbus,oh,us,diamond,180,2-3 minutes,4 Orange lights in a diamond formation hovering over Worhtington Hills&#44 in Columbus&#44 OH,12/12/2009,39.9611111,-82.9988889,9/19/2009,20:00
elysburg,pa,us,light,30,about 30 seconds,Cone of light eerily appears to Knoebel&#39s Amusement Park goers on the way to the parking lot.((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.8644444,-76.5527778,9/19/2009,20:00
farmingdale,ny,us,light,25,25 seconds,The beam of light was controlled&#44 there was no sound.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.7325,-73.4458333,9/19/2009,20:00
gibsonia,pa,us,cone,45,45 seconds,Strange coned shaped light setting still and silent in the eastern night sky.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.63,-79.9697222,9/19/2009,20:00
glenside,pa,us,light,15,15 seconds,A triangular bright light pointing downward in a haze on a clear night.((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.1022222,-75.1525,9/19/2009,20:00
greenfield,ma,us,light,30,30 secs?,White light with no known source fading into a mist without sound on cloudless night.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,42.5875,-72.6,9/19/2009,20:00
hope,nj,us,cone,50,50 seconds,UACNJ observatory in Hope&#44 NJ looking due south; searchlight shining straight.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.9111111,-74.9677778,9/19/2009,20:00
jim thorpe,pa,us,light,30,30 seconds,beam of light hovered for 30 seconds vanished into thin air. ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.8758333,-75.7327778,9/19/2009,20:00
lincoln,ne,us,fireball,300,5 minutes,Orange fireball looking object moving very slowely in the sky.,12/12/2009,40.8,-96.6666667,9/19/2009,20:00
long beach,nj,us,light,30,30 seconds,This object had no where to go but up &#44It used this this mist cloud to cloak itself((NUFORC Note:  Missile launch.  PD)),12/12/2009,39.6855556,-74.1452778,9/19/2009,20:00
long branch,nj,us,light,60,1 minute,Bright light in sky pointing down. ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.3041667,-73.9927778,9/19/2009,20:00
marion,ny,us,light,120,2 minutes,very bright spotlight with mist straight upward motion. ((NUFORC Note:  Missile launch.  PD)),12/12/2009,43.1433333,-77.1894444,9/19/2009,20:00
mcdonough,ny,us,light,120,1-2 minutes,Large bright white light with beam witnessed in New York state. ((NUFORC Note:  Missile launch.  PD)),12/12/2009,42.4983333,-75.7683333,9/19/2009,20:00
neptune city,nj,us,light,15,15 seconds,very bright large cone shaped light in sky for 15 seconds .... then disapered.  ((NUFORC Note:  Missile launch.  PD)),12/12/2009,40.2,-74.0283333,9/19/2009,20:00
